               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12115,            0.043503,                   0,            0.011831,            0.022727,            0.011825,           0.0026209,             0.11636,            0.028522,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11157,            0.044247,                   0,             0.02317,            0.068182,            0.015152,           0.0048112,             0.09946,             0.02728,                   0,            0.088294,           0.0012936,           0.0012936
                   2,              0.1011,            0.044288,                   0,            0.017063,            0.079545,            0.020149,           0.0043608,            0.089005,             0.02703,                   0,             0.08198,           0.0019802,           0.0019802
                   3,            0.090008,            0.048314,                   0,            0.019817,             0.28409,            0.018538,           0.0042232,            0.078809,            0.028468,                   0,             0.07566,           0.0026599,           0.0026599
                   4,            0.090893,            0.047121,                   0,           0.0074927,             0.76136,            0.031347,           0.0088226,            0.074805,            0.027885,                   0,            0.069333,           0.0033327,           0.0033327
                   5,            0.083655,            0.048221,                   0,             0.13201,             0.26136,             0.08021,            0.020723,            0.070675,            0.028777,                   0,            0.062999,           0.0039985,           0.0039985
                   6,            0.082369,            0.048188,                   0,              0.1773,             0.30682,             0.11062,             0.03119,            0.071435,            0.028987,                   0,            0.056657,           0.0046574,           0.0046574
                   7,            0.076432,            0.047916,                   0,             0.20677,               0.375,             0.13007,            0.036005,            0.068667,            0.032057,                   0,            0.050309,           0.0053094,           0.0053094
                   8,            0.076442,            0.045689,                   0,             0.26002,             0.32955,             0.19709,              0.0547,            0.070435,            0.031469,                   0,            0.043954,           0.0059545,           0.0059545
                   9,            0.077269,            0.043967,                   0,             0.21963,             0.42045,             0.20449,            0.053278,            0.067827,            0.027264,                   0,            0.037593,           0.0065926,           0.0065926
                  10,              0.0744,            0.043621,                   0,            0.045216,             0.22727,             0.02949,           0.0072194,            0.078374,            0.024854,                   0,            0.031224,           0.0072238,           0.0072238
                  11,            0.073786,            0.042095,                   0,             0.36142,             0.30682,             0.29797,            0.071257,            0.070405,            0.024509,                   0,            0.024848,           0.0078481,           0.0078481
                  12,            0.074672,            0.040147,                   0,              0.1455,             0.27273,            0.091963,            0.033532,             0.07159,            0.022741,                   0,            0.018465,           0.0084654,           0.0084654
                  13,            0.070414,            0.043013,                   0,             0.34946,             0.45455,             0.25797,            0.060069,            0.063857,            0.026392,                   0,            0.012076,           0.0090758,           0.0090758
                  14,            0.071504,            0.039963,                   0,             0.47948,             0.44318,             0.37191,             0.13116,            0.069795,            0.025711,                   0,            0.009307,            0.009307,            0.009307
                  15,            0.071099,            0.036197,                   0,             0.44537,             0.45455,               0.381,             0.14289,            0.069567,            0.023763,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.067026,            0.042846,                   0,             0.41959,             0.39773,             0.33536,              0.1244,            0.062792,            0.024432,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,              0.0632,             0.03898,                   0,             0.30365,             0.52273,             0.34173,             0.12486,            0.060749,            0.024613,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.063492,            0.039705,                   0,             0.22837,             0.42045,             0.25104,            0.090944,            0.066899,            0.024174,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.064256,            0.042008,                   0,             0.36695,             0.48744,             0.33299,             0.11353,            0.055146,            0.022849,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.062111,            0.039304,                   0,             0.25129,             0.53409,             0.34246,             0.11248,            0.060692,            0.023174,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.061774,            0.041966,                   0,             0.24001,             0.43426,             0.25481,            0.081577,            0.057682,             0.02719,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.062065,            0.038554,                   0,             0.32275,             0.53409,             0.35598,             0.11392,            0.054341,            0.025001,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.057442,            0.039305,                   0,             0.25509,             0.54545,             0.31698,             0.11759,            0.054752,             0.02669,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.059928,            0.041838,                   0,              0.3589,             0.61073,             0.39303,             0.11276,             0.05682,            0.026337,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.059834,            0.040897,                   0,             0.26817,             0.55382,              0.3109,             0.11056,             0.05755,            0.024973,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.055425,            0.036613,                   0,             0.38425,             0.46805,              0.3735,             0.13699,            0.051788,            0.026093,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.053563,            0.040268,                   0,             0.44597,                 0.5,             0.42725,             0.18225,            0.048575,             0.02555,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.056265,            0.036085,                   0,             0.40182,             0.53409,             0.41752,             0.16366,            0.051209,            0.024594,                   0,           0.0086635,           0.0086635,           0.0086635
