               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10311,            0.064684,                   0,            0.023121,             0.22304,            0.013943,            0.003016,            0.086185,            0.067107,                   0,             0.07024,           0.0033067,           0.0033067
                   1,            0.084959,            0.062765,                   0,             0.10676,             0.28295,             0.10445,             0.02315,            0.075973,            0.059071,                   0,            0.040207,           0.0066071,           0.0066071
                   2,             0.08289,            0.058149,                   0,             0.18539,             0.44516,             0.17143,            0.040584,            0.067044,            0.062052,                   0,            0.010141,           0.0098746,           0.0098746
                   3,            0.075092,            0.065204,                   0,             0.28663,             0.51429,             0.26169,            0.063903,            0.064883,            0.058954,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.07126,            0.065679,                   0,             0.29602,             0.38894,             0.27458,            0.064533,            0.061543,            0.058973,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.065732,            0.065164,                   0,             0.43395,             0.52075,             0.41904,             0.10803,            0.055733,            0.061748,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.065338,            0.064218,                   0,             0.55735,             0.54309,             0.51051,             0.12575,            0.055963,             0.06108,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.061441,            0.065804,                   0,             0.65012,             0.63878,             0.62866,             0.16926,            0.050854,            0.062113,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.058176,            0.065295,                   0,             0.62148,             0.57972,             0.56733,             0.14493,            0.050622,            0.061258,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.057761,            0.064788,                   0,             0.62971,             0.68387,             0.63369,             0.17145,            0.051342,            0.061042,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.055988,            0.066243,                   0,             0.71593,             0.70846,             0.67977,             0.19105,            0.050673,            0.060267,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.054456,            0.066432,                   0,             0.68256,             0.67281,             0.66083,             0.17861,            0.048776,            0.061061,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.054232,            0.064385,                   0,             0.65039,             0.67373,             0.62097,             0.16916,            0.049736,            0.060472,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.054954,             0.06664,                   0,             0.65291,             0.67097,             0.62941,             0.17313,            0.049938,            0.061923,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.051015,             0.06552,                   0,             0.72233,             0.74084,             0.73639,             0.20822,            0.048565,            0.061176,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.053797,            0.062563,                   0,              0.6979,             0.70477,             0.70922,             0.21127,            0.048675,            0.060642,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.053342,            0.065704,                   0,             0.70828,             0.70264,              0.7115,              0.1987,            0.048834,            0.061286,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.05284,            0.063506,                   0,             0.68489,             0.70507,             0.68421,             0.19245,            0.048129,            0.060233,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.05058,            0.063605,                   0,             0.69713,             0.72979,             0.71153,             0.20272,            0.047592,            0.060968,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.05115,            0.064253,                   0,             0.68582,             0.73636,             0.67743,             0.19025,            0.048944,            0.061808,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.052197,            0.063318,                   0,             0.68273,             0.68664,             0.68364,             0.19443,            0.049032,            0.060121,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.050413,             0.06495,                   0,             0.64938,              0.6794,             0.65986,             0.17975,             0.04904,            0.060498,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.052071,            0.064811,                   0,             0.65209,             0.65714,              0.6463,             0.17338,            0.049094,            0.060861,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.05059,            0.064289,                   0,             0.71863,             0.76221,              0.7326,             0.20975,            0.046604,            0.059642,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.049474,            0.065453,                   0,             0.70957,             0.73548,             0.73028,             0.21417,            0.046713,             0.06022,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.050106,            0.064137,                   0,             0.68097,             0.73825,             0.71188,             0.20244,            0.047558,            0.060127,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.04942,            0.063078,                   0,             0.73079,             0.72535,             0.71527,             0.20923,            0.046261,             0.05994,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.050988,            0.063431,                   0,             0.71616,             0.69862,             0.72111,             0.20979,            0.046585,            0.060272,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.049116,            0.062367,                   0,             0.70383,             0.72903,             0.72364,             0.20146,            0.047206,            0.060625,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.051862,            0.062586,                   0,             0.70102,             0.73641,             0.73024,             0.21065,            0.045745,            0.060591,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.047696,            0.063847,                   0,             0.64477,             0.73608,             0.69078,             0.19534,            0.046334,            0.061242,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.048389,            0.063859,                   0,             0.71026,             0.76129,             0.74553,             0.21629,            0.046986,            0.060361,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.050298,            0.062959,                   0,             0.69302,             0.76866,             0.72342,             0.20837,             0.04667,            0.060932,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.048175,             0.06277,                   0,             0.70877,             0.76406,             0.74361,             0.21781,            0.046433,            0.060102,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.050936,            0.064644,                   0,             0.72206,             0.75115,             0.74561,             0.22055,            0.046805,            0.060286,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.047145,            0.063691,                   0,              0.6928,             0.73166,             0.71842,             0.20873,            0.047523,            0.060299,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.049111,            0.064135,                   0,             0.69381,             0.76498,             0.71883,             0.21355,            0.046564,            0.059919,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.049756,            0.062188,                   0,             0.71448,             0.74263,             0.73259,             0.21332,            0.047853,            0.060481,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.047528,            0.062667,                   0,             0.70949,             0.75403,             0.75223,             0.21687,            0.046372,             0.06025,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.047535,            0.065607,                   0,             0.67873,             0.73548,             0.70404,             0.19884,            0.047458,            0.060146,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.047662,            0.061924,                   0,             0.72249,             0.73917,             0.73251,             0.21426,            0.045142,               0.061,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048318,            0.065424,                   0,             0.69463,             0.77788,             0.73551,             0.21699,            0.045818,            0.060538,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.048955,            0.062113,                   0,             0.71043,             0.74009,             0.72904,             0.21727,             0.04618,            0.060549,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.050011,            0.062347,                   0,             0.73478,             0.74817,             0.75551,             0.21647,            0.045944,            0.060797,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.048144,            0.062879,                   0,             0.70993,             0.74654,             0.72984,              0.2183,            0.045212,            0.060308,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.049225,            0.064522,                   0,              0.7465,             0.77972,             0.76187,             0.22446,            0.045415,            0.060344,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.048489,            0.062123,                   0,             0.71184,             0.73084,             0.73435,             0.21359,            0.046858,            0.060206,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046455,            0.063924,                   0,             0.70798,             0.76418,             0.73652,             0.21336,            0.046206,            0.060446,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.047549,            0.064316,                   0,             0.68844,             0.74931,             0.71918,             0.20514,            0.046244,            0.060938,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.047935,             0.06386,                   0,             0.72198,             0.75392,             0.74482,             0.21877,            0.046057,            0.060593,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.048591,            0.061525,                   0,             0.65499,             0.74654,             0.69985,             0.20076,            0.046598,            0.060999,                   0,           0.0075745,           0.0075745,           0.0075745
