               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12156,            0.066109,                   0,              0.0059,             0.16313,           0.0056163,            0.001164,             0.10227,            0.068588,                   0,              0.0721,              0.0031,              0.0031
                   1,             0.10542,             0.06499,                   0,            0.078714,              0.2149,             0.05097,             0.01145,            0.095794,             0.10635,                   0,            0.043238,           0.0062376,           0.0062376
                   2,            0.096332,            0.059927,                   0,             0.19852,              0.3318,             0.14998,            0.033392,            0.088591,            0.067007,                   0,            0.014312,           0.0093119,           0.0093119
                   3,            0.092083,            0.058126,                   0,             0.24132,             0.33685,             0.16609,            0.034433,            0.081062,            0.074961,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.080408,            0.065695,                   0,             0.21511,             0.54747,             0.17689,            0.045855,            0.081385,            0.075477,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.074287,            0.065192,                   0,             0.43214,              0.5078,             0.41812,             0.10196,             0.06922,            0.077021,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.074015,            0.065916,                   0,             0.27311,             0.54286,             0.28307,            0.071886,            0.069526,             0.06554,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.072295,            0.066692,                   0,             0.66314,             0.67465,             0.63606,             0.16988,            0.064198,            0.065064,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.070368,            0.063735,                   0,             0.34868,             0.59357,             0.33971,            0.087453,            0.065461,            0.067433,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.065711,            0.065597,                   0,             0.66907,              0.6466,             0.62472,             0.16537,             0.06229,            0.064415,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.065205,            0.065148,                   0,             0.51588,             0.58802,             0.48374,             0.11988,            0.063244,            0.065376,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.066185,            0.065618,                   0,             0.62724,             0.63041,              0.5877,             0.15307,            0.061276,            0.065143,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.064253,            0.066578,                   0,             0.68139,             0.69217,              0.6667,             0.18895,            0.058394,            0.063927,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.067107,            0.064371,                   0,             0.62905,             0.67097,             0.62479,             0.16876,            0.059713,            0.065936,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.065379,            0.066573,                   0,             0.60839,              0.6682,             0.58583,             0.15678,            0.059475,             0.06416,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.063388,            0.063375,                   0,              0.6221,             0.64977,             0.61252,             0.16379,             0.05668,             0.06473,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.06353,            0.066749,                   0,             0.63271,             0.67189,              0.6261,             0.16414,             0.06013,            0.063788,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.062223,            0.066151,                   0,             0.68629,             0.72903,             0.69938,             0.19856,            0.055667,            0.062431,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.061813,            0.064843,                   0,             0.69782,             0.73733,             0.71359,             0.21166,            0.057298,            0.062644,                   0,            0.008317,            0.008317,            0.008317
